S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3
4.5,7.5,12.75,2.25,7.5,36.75,25.0,5.75,2.25,10.5,3.0,6.75,15.75,0.0,51.75,9.75,18.75,12.970588235294118,474.5242214532872,9.075,16.5,20.0625
4.5,7.275,13.5,2.025,7.5,46.35,26.175,6.025,3.3,15.4,3.525,6.85,15.975,0.0,53.55,9.0,17.775,14.04264705882353,851.8806228373702,9.334999999999999,21.683333333333334,20.08125
4.5,7.05,14.25,1.8,7.5,55.95,27.35,6.3,4.35,20.3,4.05,6.95,16.2,0.0,55.35,8.25,16.8,15.114705882352942,1229.237024221453,9.594999999999999,26.866666666666667,20.1
4.5,6.825,15.0,1.575,7.5,65.55,28.525,6.575,5.4,25.200000000000003,4.575,7.05,16.425,0.0,57.15,7.5,15.825,16.186764705882354,1606.5934256055361,9.855,32.05,20.11875
4.5,6.6,15.75,1.35,7.5,75.15,29.7,6.85,6.45,30.1,5.1,7.15,16.65,0.0,58.95,6.75,14.85,17.258823529411764,1983.9498269896192,10.115,37.233333333333334,20.1375
4.5,6.375,16.5,1.125,7.5,84.75,30.875,7.125,7.5,35.0,5.625,7.25,16.875,0.0,60.75,6.0,13.875,18.330882352941178,2361.306228373702,10.375,42.416666666666664,20.15625
4.5,6.15,17.25,0.8999999999999999,7.5,94.35,32.05,7.4,8.55,39.900000000000006,6.15,7.35,17.1,0.0,62.55,5.25,12.9,19.402941176470588,2738.662629757785,10.635,47.599999999999994,20.175
4.5,5.925,18.0,0.675,7.5,103.95,33.225,7.675000000000001,9.600000000000001,44.800000000000004,6.675000000000001,7.45,17.325,0.0,64.35,4.5,11.925,20.475,3116.0190311418683,10.895,52.78333333333333,20.19375
4.5,5.7,18.75,0.44999999999999996,7.5,113.55,34.4,7.95,10.65,49.7,7.2,7.55,17.55,0.0,66.15,3.75,10.95,21.54705882352941,3493.375432525951,11.155000000000001,57.96666666666666,20.2125
4.5,5.475,19.5,0.2250000000000001,7.5,123.14999999999999,35.575,8.225,11.700000000000001,54.6,7.7250000000000005,7.65,17.775,0.0,67.95,3.0,9.975,22.61911764705882,3870.731833910034,11.415000000000001,63.14999999999999,20.23125
4.5,5.25,20.25,0.0,7.5,132.75,36.75,8.5,12.75,59.5,8.25,7.75,18.0,0.0,69.75,2.25,9.0,23.691176470588236,4248.088235294117,11.675,68.33333333333333,20.25
4.5,5.25,19.35,0.525,8.4,156.225,35.1,8.625,13.425,59.2,8.775,10.65,19.05,0.525,69.9,2.475,12.375,25.55,6778.883910034601,12.0225,76.28333333333333,21.31875
4.5,5.25,18.45,1.05,9.3,179.7,33.45,8.75,14.1,58.9,9.3,13.55,20.1,1.05,70.05,2.7,15.75,27.408823529411766,9309.679584775087,12.370000000000001,84.23333333333333,22.3875
4.5,5.25,17.55,1.5750000000000002,10.2,203.175,31.8,8.875,14.775,58.6,9.825,16.45,21.15,1.5750000000000002,70.2,2.925,19.125,29.267647058823528,11840.475259515571,12.717500000000001,92.18333333333334,23.45625
